2014-12-11 06:18:01 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 06:18:01 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 06:18:01 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:18:01 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 06:18:01 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 06:18:01 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 06:20:50 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:20:50 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 06:20:50 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 06:20:50 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:20:50 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 06:20:50 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 06:20:50 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 06:23:34 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:23:34 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 06:23:34 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 06:23:34 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:23:34 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 06:23:34 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 06:23:34 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 06:25:22 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:25:22 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 06:25:22 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 06:25:22 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:25:22 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 06:25:22 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 06:25:22 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 06:48:27 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:48:27 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 06:48:27 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 06:48:27 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:48:27 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 06:48:27 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 06:48:27 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 06:52:48 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:52:48 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 06:52:48 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 06:52:48 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 06:52:48 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 06:52:48 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 06:52:48 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 07:03:20 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 07:03:20 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 07:03:20 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 07:03:20 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 07:03:20 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 07:03:20 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 07:03:20 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 07:16:04 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 07:16:04 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 07:16:04 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 07:16:04 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 07:16:04 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 07:16:04 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 07:16:04 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 07:17:40 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 07:17:40 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 07:17:40 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 07:17:40 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 07:17:40 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 07:17:40 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 07:17:40 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-11 20:03:53 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 20:03:53 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-11 20:03:53 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-11 20:03:53 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-11 20:03:53 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-11 20:03:53 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-11 20:03:53 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2015-01-12 00:48:50 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2015-01-12 00:48:50 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2015-01-12 00:48:50 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2015-01-12 00:48:50 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2015-01-12 00:48:50 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2015-01-12 00:48:50 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2015-01-12 00:48:50 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
